Quarter,Series,Seasonality adjustment,Region,Region Code,Industry,Industry Code,Value,Value Unit,Value Label
2011 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",518.9,nzd,NZD millions
2011 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",504.6,nzd,NZD millions
2011 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",586.9,nzd,NZD millions
2012 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",549.1,nzd,NZD millions
2012 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",517.8,nzd,NZD millions
2012 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",493.7,nzd,NZD millions
2012 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",592.7,nzd,NZD millions
2013 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",566.6,nzd,NZD millions
2013 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",523.9,nzd,NZD millions
2013 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",509.8,nzd,NZD millions
2013 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",612.7,nzd,NZD millions
2014 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",581.3,nzd,NZD millions
2014 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",542,nzd,NZD millions
2014 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",510,nzd,NZD millions
2014 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",657.2,nzd,NZD millions
2015 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",611.7,nzd,NZD millions
2015 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",571.3,nzd,NZD millions
2015 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",564.7,nzd,NZD millions
2015 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",676.1,nzd,NZD millions
2016 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",652.2,nzd,NZD millions
2016 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",613.6,nzd,NZD millions
2016 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",613.4,nzd,NZD millions
2016 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",722.4,nzd,NZD millions
2017 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",694.7,nzd,NZD millions
2017 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",666.8,nzd,NZD millions
2017 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",633.1,nzd,NZD millions
2017 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",748.5,nzd,NZD millions
2018 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",724.7,nzd,NZD millions
2018 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",684.5,nzd,NZD millions
2018 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",666.3,nzd,NZD millions
2018 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",805.2,nzd,NZD millions
2019 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",755.1,nzd,NZD millions
2019 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",711.4,nzd,NZD millions
2019 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",694.7,nzd,NZD millions
2019 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",827.2,nzd,NZD millions
2020 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",779.2,nzd,NZD millions
2020 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",615.1,nzd,NZD millions
2020 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",795.1,nzd,NZD millions
2020 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",894.1,nzd,NZD millions
2021 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",836.7,nzd,NZD millions
2021 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",836.7,nzd,NZD millions
2021 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",785.1,nzd,NZD millions
2021 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",972.4,nzd,NZD millions
2022 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",933.3,nzd,NZD millions
2022 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",895.9,nzd,NZD millions
2022 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",883,nzd,NZD millions
2022 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",1007.6,nzd,NZD millions
2023 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",936.2,nzd,NZD millions
2023 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",897.1,nzd,NZD millions
2023 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",882.8,nzd,NZD millions
2023 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",1006.7,nzd,NZD millions
2024 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",959.5,nzd,NZD millions
2024 Q2,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",878.4,nzd,NZD millions
2024 Q3,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",849.1,nzd,NZD millions
2024 Q4,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",1011.6,nzd,NZD millions
2025 Q1,Sales by region in current prices (SAFC),Actual,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",956.2,nzd,NZD millions
2011 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",543.4,nzd,NZD millions
2011 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",541.6,nzd,NZD millions
2011 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",534.3,nzd,NZD millions
2012 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",529.7,nzd,NZD millions
2012 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",542.2,nzd,NZD millions
2012 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",541.8,nzd,NZD millions
2012 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",541.5,nzd,NZD millions
2013 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",550.9,nzd,NZD millions
2013 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",548.5,nzd,NZD millions
2013 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",556.3,nzd,NZD millions
2013 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",566.7,nzd,NZD millions
2014 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",558.7,nzd,NZD millions
2014 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",567.1,nzd,NZD millions
2014 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",562.8,nzd,NZD millions
2014 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",592.9,nzd,NZD millions
2015 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",603.2,nzd,NZD millions
2015 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",597.5,nzd,NZD millions
2015 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",607.4,nzd,NZD millions
2015 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",616,nzd,NZD millions
2016 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",629.4,nzd,NZD millions
2016 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",641.4,nzd,NZD millions
2016 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",657.4,nzd,NZD millions
2016 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",659.9,nzd,NZD millions
2017 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",677.4,nzd,NZD millions
2017 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",696.5,nzd,NZD millions
2017 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",684.5,nzd,NZD millions
2017 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",686.9,nzd,NZD millions
2018 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",706.7,nzd,NZD millions
2018 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",713,nzd,NZD millions
2018 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",720.3,nzd,NZD millions
2018 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",737.9,nzd,NZD millions
2019 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",738.6,nzd,NZD millions
2019 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",740.4,nzd,NZD millions
2019 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",750.1,nzd,NZD millions
2019 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",757.2,nzd,NZD millions
2020 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",764.7,nzd,NZD millions
2020 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",639.9,nzd,NZD millions
2020 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",856,nzd,NZD millions
2020 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",819.1,nzd,NZD millions
2021 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",822,nzd,NZD millions
2021 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",870.8,nzd,NZD millions
2021 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",842.7,nzd,NZD millions
2021 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",892.3,nzd,NZD millions
2022 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",917.6,nzd,NZD millions
2022 Q2,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",932.4,nzd,NZD millions
2022 Q3,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",945.4,nzd,NZD millions
2022 Q4,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",927,nzd,NZD millions
2023 Q1,Sales by region in current prices (SAFC),Seasonally adjusted,Northland,Northland Region,"All retail trade, accommodation and food services","G,H",919.4,nzd,NZD millions
